ind,pop,taxon
VIC-L-20-22,VIC-L-20-,2
VIC-L-20-23,VIC-L-20-,3
VIC-L-20-24,VIC-L-20-,4
VIC-L-20-25,VIC-L-20-,5
VIC-L-20-26,VIC-L-20-,6
VIC-L-20-27,VIC-L-20-,7
VIC-L-20-28,VIC-L-20-,8
VIC-L-20-29,VIC-L-20-,9
VIC-L-20-30,VIC-L-20-,0
VIC-L-20-31,VIC-L-20-,1
VIC-L-20-32,VIC-L-20-,2
VIC-L-20-33,VIC-L-20-,3
VIC-L-20-34,VIC-L-20-,4
VIC-L-20-35,VIC-L-20-,5
VIC-L-20-36,VIC-L-20-,6
VIC-L-20-37,VIC-L-20-,7
VIC-L-20-38,VIC-L-20-,8
VIC-L-20-39,VIC-L-20-,9
VIC-L-20-40,VIC-L-20-,0
VIC-L-20-41,VIC-L-20-,1
VIC-L-20-42,VIC-L-20-,2
VIC-L-20-43,VIC-L-20-,3
VIC-L-20-44,VIC-L-20-,4
VIC-L-20-45,VIC-L-20-,5
VIC-L-20-46,VIC-L-20-,6
VIC-L-20-47,VIC-L-20-,7
VIC-L-20-48,VIC-L-20-,8
VIC-L-20-49,VIC-L-20-,9
VIC-L-20-50,VIC-L-20-,0
VIC-L-20-51,VIC-L-20-,1
VIC-L-20-52,VIC-L-20-,2
VIC-L-20-53,VIC-L-20-,3
VIC-L-20-54,VIC-L-20-,4
VIC-L-20-55,VIC-L-20-,5
VIC-L-20-56,VIC-L-20-,6
VIC-L-20-57,VIC-L-20-,7
VIC-L-20-58,VIC-L-20-,8
VIC-L-20-59,VIC-L-20-,9
VIC-L-20-60,VIC-L-20-,0
VIC-L-20-61,VIC-L-20-,1
VIC-L-20-62,VIC-L-20-,2
VUH-L-20-01,VUH-L-20-,1
VUH-L-20-02,VUH-L-20-,2
VUH-L-20-03,VUH-L-20-,3
VUH-L-20-04,VUH-L-20-,4
VUH-L-20-05,VUH-L-20-,5
YG-20-01-02,YG-20-01-,2
YG-20-08-01,YG-20-08-,1
YG-20-14-01,YG-20-14-,1
YG-20-17-01,YG-20-17-,1
YG-20-18-02,YG-20-18-,2
YG-20-19-01,YG-20-19-,1
YG-20-19-04,YG-20-19-,4
YG-20-27-04,YG-20-27-,4
YG-20-27-08,YG-20-27-,8
