ind,pop,taxon
BST-21-07-04,BST-21-07-,4
BST-21-07-05,BST-21-07-,5
BST-21-07-06,BST-21-07-,6
BST-21-07-07,BST-21-07-,7
BST-21-07-08,BST-21-07-,8
BST-21-07-10,BST-21-07-,0
BST-21-07-12,BST-21-07-,2
BST-21-07-16,BST-21-07-,6
BST-21-07-17,BST-21-07-,7
BST-21-07-18,BST-21-07-,8
BST-21-07-19,BST-21-07-,9
BST-21-07-20,BST-21-07-,0
BST-21-10-01,BST-21-10-,1
BST-21-10-03,BST-21-10-,3
BST-21-10-04,BST-21-10-,4
BST-21-10-05,BST-21-10-,5
BST-21-10-08,BST-21-10-,8
BST-21-10-106,BST-21-10-1,6
BST-21-10-11,BST-21-10-,1
BST-21-10-12,BST-21-10-,2
BST-21-10-15,BST-21-10-,5
BST-21-10-19,BST-21-10-,9
BST-21-10-20,BST-21-10-,0
BST-21-10-22,BST-21-10-,2
BST-21-10-24,BST-21-10-,4
BST-21-10-25,BST-21-10-,5
BST-21-10-26,BST-21-10-,6
BST-21-10-27,BST-21-10-,7
BST-21-10-28,BST-21-10-,8
BST-21-10-30,BST-21-10-,0
BST-21-10-31,BST-21-10-,1
BST-21-10-32,BST-21-10-,2
BST-21-10-33b,BST-21-10-3,b
BST-21-10-33,BST-21-10-,3
BST-21-10-35,BST-21-10-,5
BST-21-10-36,BST-21-10-,6
BST-21-10-37,BST-21-10-,7
BST-21-10-39,BST-21-10-,9
BST-21-10-40,BST-21-10-,0
BST-21-10-41,BST-21-10-,1
BST-21-10-42,BST-21-10-,2
BST-21-10-43,BST-21-10-,3
BST-21-10-47,BST-21-10-,7
BST-21-10-48,BST-21-10-,8
BST-21-10-50,BST-21-10-,0
BST-21-10-52,BST-21-10-,2
BST-21-10-53,BST-21-10-,3
BST-21-10-56,BST-21-10-,6
BST-21-10-57,BST-21-10-,7
BST-21-10-58,BST-21-10-,8
BST-21-10-60,BST-21-10-,0
BST-21-10-61,BST-21-10-,1
BST-21-10-62,BST-21-10-,2
BST-21-10-63,BST-21-10-,3
BST-21-10-65,BST-21-10-,5
BST-21-10-66,BST-21-10-,6
BST-21-10-67,BST-21-10-,7
BST-21-10-69,BST-21-10-,9
BST-21-10-70,BST-21-10-,0
BST-21-10-74,BST-21-10-,4
BST-21-10-76,BST-21-10-,6
BST-21-10-77,BST-21-10-,7
BST-21-10-78,BST-21-10-,8
BST-21-11-01,BST-21-11-,1
BST-21-12-02,BST-21-12-,2
BST-21-12-03,BST-21-12-,3
BST-21-12-06,BST-21-12-,6
BST-21-12-07,BST-21-12-,7
BST-21-12-08,BST-21-12-,8
BST-21-12-09,BST-21-12-,9
BST-21-12-10,BST-21-12-,0
BST-21-12-12,BST-21-12-,2
BST-21-12-13,BST-21-12-,3
BST-21-12-14,BST-21-12-,4
BST-21-12-17,BST-21-12-,7
BST-21-12-18,BST-21-12-,8
BST-21-12-24,BST-21-12-,4
BST-21-12-26,BST-21-12-,6
BST-21-12-27,BST-21-12-,7
BST-21-12-28,BST-21-12-,8
BST-21-12-30,BST-21-12-,0
BST-21-12-31,BST-21-12-,1
BST-21-12-33,BST-21-12-,3
